"DateTime","Symbol","Buy/Sell","Quantity","TradePrice","IBCommission","CurrencyPrimary"
"20241120;093340","AAOI","BUY","0.6944","31.5989","-0.219472758","USD"
"20241120;093340","AAOI","BUY","16","31.6","-0.781345238","USD"
"20241125;153029","AAOI","SELL","-2","37.7704","-0.757984034","USD"
"20241125;153029","AAOI","SELL","-0.6944","37.76","-0.245486198","USD"
"20241125;153029","AAOI","SELL","-3","37.77","-0.003864018","USD"
"20241205;152935","AAOI","SELL","-11","34.51","-1.013171158","USD"
"20241202;101830","APP","BUY","0.4409","347","-1.000031745","USD"
"20241202;101830","APP","BUY","1","346.9995","-0.000072","USD"
"20241205;153415","APP","SELL","-0.7","389.69","-1.007749967","USD"
"20241204;100017","COIN","BUY","0.5679","318.78","-1.000040889","USD"
"20241204;100017","COIN","BUY","1","318.88","-0.000048","USD"
"20241120;093341","USD.SEK","BUY","1","11.01165","0","SEK"
"20241120;093341","USD.SEK","BUY","527.54","11.0111","0","SEK"
"20241120;170000","USD.SEK","BUY","0.000818","11.0324499","0","SEK"
"20241120;170000","USD.SEK","BUY","0.00227616","11.03187908","0","SEK"
"20241202;101831","USD.SEK","BUY","289.39","11.0302","0","SEK"
"20241202;125802","USD.SEK","BUY","360","11.01355","0","SEK"
"20241202;125803","USD.SEK","BUY","140.96","11.01355","0","SEK"
"20241204;100018","USD.SEK","BUY","77.44","10.98765","0","SEK"
"20241204;170000","USD.SEK","BUY","0.00487458","10.93186897","0","SEK"
"Date/Time","FromCurrency","ToCurrency","Rate"
"20241120","EUR","USD","1.0544"
"20241125","EUR","USD","1.0496"
"20241202","EUR","USD","1.0498"
"20241204","EUR","USD","1.0511"
"20241205","EUR","USD","1.0588"
"20241120","SEK","USD","0.090676"
"20241125","SEK","USD","0.091034"
"20241202","SEK","USD","0.090966"
"20241204","SEK","USD","0.091512"
"20241205","SEK","USD","0.092165"
